TIME,EXPIRY,MATURTIES,FUT_PRICE,ATM,BF25,RR25,BF10,RR10,FITTING_ERROR,K_QD90,K_QD75,K_QD25,K_QD10
2022-05-15-T00:28:00.227Z,15-MAY-2022,0.00268645,30106.5,0.4011,0.0778548,0.0244812,0.0855687,-0.0930367,0.0439846,29315,29687.3,30531.7,30919.4
2022-05-15-T00:28:00.227Z,16-MAY-2022,0.00542618,30106.4,0.5791,0.0253556,-0.124388,0.097291,-0.151855,0.0148625,28504.7,29252.5,30985.2,31798
2022-05-15-T00:28:00.227Z,20-MAY-2022,0.0163851,30105.7,0.6792,0.0329193,-0.124907,0.109566,-0.203675,0.0160895,26931.5,28391,31923.9,33654
2022-05-15-T00:28:00.227Z,27-MAY-2022,0.0355632,30133.8,0.7007,0.0257551,-0.14823,0.0921318,-0.247607,0.0147921,25439.5,27564.3,32942.8,35694.3
2022-05-15-T00:28:00.227Z,3-JUN-2022,0.0531431,30149.6,0.7261,0.0310263,-0.153752,0.125258,-0.250101,0.00466676,24328.7,26930.9,33753.1,37363.2
2022-05-15-T00:28:00.227Z,24-JUN-2022,0.110677,30208.9,0.7323,0.0354732,-0.177285,0.124975,-0.309079,0.0154486,22107.6,25631.4,35604,41279
2022-05-15-T00:28:00.227Z,29-JUL-2022,0.207709,30317.8,0.736,0.0250375,-0.182539,0.0985757,-0.297558,0.00992525,19724.5,24179.1,38015.1,46600.5
2022-05-15-T00:28:00.227Z,30-SEP-2022,0.377116,30546.9,0.7293,0.0357684,-0.158563,0.105694,-0.271809,0.00981542,17206.8,22582.7,41319.8,54229.3
2022-05-15-T00:28:00.227Z,30-DEC-2022,0.627116,30782,0.7103,0.0276105,-0.113936,0.0861257,-0.19344,0.00910866,14970.3,21063.4,44984.8,63294.2
2022-05-15-T00:28:00.227Z,31-MAR-2023,0.879855,30935.3,0.7063,0.0248722,-0.0879984,0.0808067,-0.180502,0.00491692,13234.8,19787.3,48364,72308.6
